replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
18,18,coordinated,Coordinated,114.590741220488,235.173540922145,239.305716832021,4.13217590987543,1642.40411546336,4790
18,18,delayed_coordination,Delayed Coordination,113.68746046848,243.155618968565,236.602899214769,-6.55271975379668,1637.56955657983,4700
19,19,baseline,Baseline,127.048447747615,333.092707251775,351.673247056608,18.5805398048325,2261.35554154674,2814
19,19,early_mover,Early Mover,123.975411012696,226.098107800203,263.582653992079,37.4845461918761,1695.54997707378,4753
19,19,sequential,Sequential,119.61259046548,225.265307767247,259.202852933637,33.9375451663898,1666.64432932339,4765
19,19,coordinated,Coordinated,117.891140658324,225.112486661979,267.314111906363,42.2016252443843,1723.40939142728,4492
19,19,delayed_coordination,Delayed Coordination,120.606786587826,221.358023582127,257.322393217509,35.9643696353816,1664.41136601536,4796
20,20,baseline,Baseline,126.861910201648,310.340888496358,338.929047098904,28.5881586025463,2262.77821406191,2821
20,20,early_mover,Early Mover,115.41694757565,252.998742588382,242.707099098809,-10.2916434895722,1760.42979959504,4230
20,20,sequential,Sequential,116.874152390422,242.899553646424,237.056101823867,-5.84345182255626,1694.8649928392,4391
20,20,coordinated,Coordinated,111.293629735632,247.128610362685,257.50850646498,10.3798961022954,1829.63465769045,4147
20,20,delayed_coordination,Delayed Coordination,111.169463564367,252.633765381094,239.406315891373,-13.2274494897204,1762.88248436162,4231
21,21,baseline,Baseline,128.487459123983,362.53227067901,347.392641909316,-15.1396287696935,2285.12336014409,2694
21,21,early_mover,Early Mover,123.359407272466,250.999366464473,258.032859599793,7.03349313531993,1718.60108181476,4737
21,21,sequential,Sequential,123.096609793362,257.66224037207,253.918135605221,-3.74410476684835,1677.33135153327,4757
21,21,coordinated,Coordinated,126.839353019573,244.690135789813,244.5851188408,-0.105016949012935,1641.59899470168,4914
21,21,delayed_coordination,Delayed Coordination,121.41591258917,259.702536546819,256.727796956421,-2.97473959039769,1684.71592154965,4753
22,22,baseline,Baseline,125.689183739616,343.3258849747,340.772324908078,-2.55356006662225,2304.51529165853,2881
22,22,early_mover,Early Mover,123.628942814499,230.676130838091,221.743303737673,-8.932827100418,1543.73377365419,5189
22,22,sequential,Sequential,122.466499675534,232.717442960467,213.997355409451,-18.7200875510162,1519.6904032341,5285
22,22,coordinated,Coordinated,122.416971794152,227.028332575388,215.659468607743,-11.3688639676449,1510.90429480214,5323
22,22,delayed_coordination,Delayed Coordination,122.831006153996,226.127904047342,216.169526933681,-9.95837711366119,1495.7932110711,5277
23,23,baseline,Baseline,126.104459901276,353.827448914929,353.075015634832,-0.752433280096454,2335.50769572057,2571
23,23,early_mover,Early Mover,121.286658852214,284.950928485509,282.00979215978,-2.94113632572919,1688.17619312633,4721
23,23,sequential,Sequential,122.398192900964,274.357155891843,277.045989573349,2.68883368150603,1612.56003089967,4773
23,23,coordinated,Coordinated,120.392879493685,268.353567415466,257.698752933495,-10.6548144819701,1628.56594172943,4732
23,23,delayed_coordination,Delayed Coordination,121.990159362183,274.019459355991,271.208370433571,-2.81108892241997,1610.2313656607,4805
24,24,baseline,Baseline,126.359680396224,336.682415289483,316.770808089273,-19.9116072002099,2253.38097018101,3093
